tahun,kecamatan,kelurahan_desa,kec_lower,kec_kel,lat,long,jumlah_stunting_beresiko,jumlah_stunting_tidak_beresiko,jumlah_sasaran_keluarga,jarak_anak_t1,jarak_anak_t2,jarak_anak_t3,jarak_anak_t4,memiliki_anak_baduta,memiliki_anak_balita,memiliki_anak_pus,memiliki_anak_pus_hamil,air_minum,jamban,asi_eks_jan,asi_eks_feb,asi_eks_mar,asi_eks_apr,asi_eks_may,asi_eks_jun,asi_eks_july,asi_eks_aug,asi_eks_sept,asi_eks_oct,asi_eks_nov,asi_eks_dec,jumlah_puskesmas_asi_eks,jumlah_posyandu,jumlah_posyandu_data_lansia,luas,prop_stunting_luas
2021,Wlingi,NGADIRENGGO,wlingi,wlingiNGADIRENGGO,-8.0375,112.3433,400,429,2565,2,222,8,94,96,172,873,28,253,74,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,"3,907.34",0.1023714343
2021,Gandusari,SUKOSEWU,gandusari,gandusariSUKOSEWU,-8.0379,112.2874,1104,787,2923,10,391,6,278,260,473,1874,61,164,416,1,1,1,1,0,0,0,8,8,8,8,8,1,4,4,796.96,1.385264003
2021,Doko,RESAPOMBO,doko,dokoRESAPOMBO,-8.0384,112.4203,835,492,2628,12,362,15,145,124,252,1317,41,212,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"1,641.54",0.5086686892
2021,Nglegok,DAYU,nglegok,nglegokDAYU,-8.0394,112.1714,498,605,2741,9,236,9,114,119,239,1089,44,55,152,0,0,0,0,0,0,2,2,2,2,2,2,1,1,6,336.90,1.478183437
2021,Ponggok,MALIRAN,ponggok,ponggokMALIRAN,-8.0397,112.1325,377,466,2602,18,294,11,100,143,282,1111,35,64,162,1,4,8,9,9,12,12,15,21,23,26,29,1,6,2,878.00,0.4293849658
2021,Selorejo,AMPELGADING,selorejo,selorejoAMPELGADING,-8.0398,112.4503,223,5,2141,8,150,5,67,60,118,609,16,616,75,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,802.98,0.2777155097
2021,Ponggok,POJOK,ponggok,ponggokPOJOK,-8.0429,112.1145,888,1102,3238,8,219,16,74,121,200,832,31,10,131,0,1,4,5,6,7,9,12,15,20,26,28,1,5,2,475.00,1.869473684
2021,Gandusari,SUMBERAGUNG,gandusari,gandusariSUMBERAGUNG,-8.0437,112.2788,655,566,2702,15,238,17,159,168,279,1213,47,128,168,0,1,1,1,2,2,2,7,6,6,7,6,1,4,4,637.06,1.028160613
2021,Nglegok,KRENCENG,nglegok,nglegokKRENCENG,-8.0456,112.1912,174,186,2322,1,77,2,47,50,81,357,13,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.00,0.9666666667
2021,Gandusari,GANDUSARI,gandusari,gandusariGANDUSARI,-8.0474,112.3041,208,200,2336,1,109,2,72,44,85,405,16,2,77,0,0,0,0,0,0,0,4,4,4,4,4,1,2,4,216.63,0.960162489
2021,Wonodadi,KALIBOTO,wonodadi,wonodadiKALIBOTO,-8.0477,111.9842,343,684,2820,1,55,4,41,38,64,287,9,1,6,2,2,2,2,4,5,5,4,5,5,6,4,1,2,1,148.54,2.309142319
2021,Nglegok,BANGSRI,nglegok,nglegokBANGSRI,-8.0491,112.1748,558,616,2752,6,330,17,119,146,246,1166,33,30,160,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,423.00,1.319148936
2021,Garum,TAWANGSARI,garum,garumTAWANGSARI,-8.0496,112.2194,624,685,2821,34,275,23,196,154,297,1286,49,39,120,14,15,16,17,16,20,17,20,24,25,20,21,1,11,4,456.50,1.366922234
2021,Gandusari,BUTUN,gandusari,gandusariBUTUN,-8.0512,112.3128,461,439,2575,5,177,2,83,117,213,892,32,85,154,0,0,0,0,0,0,0,5,5,5,5,5,1,3,4,0.00,0
2021,Sanankulon,GLEDUG,sanankulon,sanankulonGLEDUG,-8.0514,112.1530,117,184,2320,8,151,8,77,79,118,573,14,87,125,0,0,0,0,0,0,2,3,4,6,6,7,1,3,3,208.23,0.5618786918
2021,Srengat,DERMOJAYAN,srengat,srengatDERMOJAYAN,-8.0523,112.0504,312,537,2673,0,154,1,62,94,147,732,17,30,21,3,1,0,0,0,0,0,0,0,0,0,0,1,2,1,304.42,1.024899809
2021,Ponggok,KAWEDUSAN,ponggok,ponggokKAWEDUSAN,-8.0525,112.0990,874,859,2995,2,179,10,66,87,152,685,15,4,98,1,2,3,7,10,10,12,13,15,17,16,16,1,5,3,323.00,2.705882353
2021,Gandusari,KOTES,gandusari,gandusariKOTES,-8.0534,112.2798,111,171,2307,2,48,1,27,39,58,276,7,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195.70,0.5671946857
2021,Nglegok,JIWUT,nglegok,nglegokJIWUT,-8.0535,112.2021,437,594,2730,3,271,10,135,109,207,1023,39,5,47,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,409.00,1.068459658
2021,Gandusari,TAMBAKAN,gandusari,gandusariTAMBAKAN,-8.0562,112.2956,232,322,2458,3,102,4,51,80,124,549,19,29,41,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,182.33,1.272418143
2021,Wonodadi,WONODADI,wonodadi,wonodadiWONODADI,-8.0572,112.0001,3501,242,2378,2,279,4,109,140,223,1171,44,15,49,3,7,14,20,28,33,36,40,44,48,52,51,1,6,3,480.83,7.281159661
